k,name,in_iM,gene_weight,regulator,function,category
24,24,False,0.0249535120418257,,,
15,15,False,0.0228778104240904,,,
12,SG_2,False,-0.0184376316285067,,,
49,49,False,0.0170827847949152,,,
45,45,False,-0.0160470932821805,,,
0,0,False,0.0151993997049024,,,
10,10,False,0.0149209676534124,,,
7,7,False,-0.0133277135427156,,,
1,1,False,0.0121873491963296,,,
44,SG_7,False,0.0120398174923898,,,
13,13,False,-0.0115684095645537,,,
38,SG_5,False,-0.0110525276688173,,,
20,20,False,-0.0100813092754455,,,
34,SG_3,False,-0.0096317882371724,,,
19,19,False,-0.0085298216085512,,,
23,23,False,0.0085014261929526,,,
18,18,False,-0.0080794157570532,,,
42,42,False,0.0075848922432195,,,
26,26,False,0.0074693674635168,,,
39,39,False,-0.0072039586937253,,,
35,35,False,0.0069122337726647,,,
22,22,False,-0.0064685181782233,,,
52,52,False,0.0061098032371783,,,
41,41,False,-0.0060922772399296,,,
29,29,False,-0.0057833540557262,,,
3,SG_1,False,-0.005571449938114,,,
33,33,False,-0.0054408964303746,,,
30,30,False,-0.0053965917755019,,,
11,11,False,-0.0053370160529686,,,
50,SG_9,False,0.0052216809333035,,,
5,5,False,0.0050430012409841,,,
25,25,False,-0.003999863762472,,,
17,17,False,-0.0037077233330373,,,
16,16,False,0.0036584180847245,,,
8,8,False,-0.0033845866801835,,,
2,2,False,-0.0032771478551119,,,
4,4,False,-0.0031315114456595,,,
40,SG_6,False,0.0028559675714296,,,
32,32,False,-0.0028488229642975,,,
51,51,False,0.0026722411091503,,,
6,6,False,-0.0025382820790584,,,
37,SG_4,False,0.002277258340062,,,
43,43,False,0.0016613728641393,,,
46,46,False,-0.0015222650265731,,,
31,31,False,-0.0014360245573011,,,
14,14,False,0.0014076264315729,,,
48,48,False,0.0012439119341007,,,
27,27,False,-0.0011820647450289,,,
28,28,False,-0.0009202561386636,,,
36,36,False,-0.0005915347950288,,,
47,SG_8,False,-0.000515172077452,,,
9,9,False,0.0004897971351989,,,
21,21,False,-0.0003004574600234,,,
