k,name,in_iM,gene_weight,regulator,function,category
19,19,False,0.0291898060550987,,,
2,2,False,-0.0247684391793462,,,
33,33,False,-0.0239125289248943,,,
42,42,False,-0.0221553152046292,,,
37,SG_4,False,-0.021243344283348,,,
34,SG_3,False,-0.0179450793750006,,,
3,SG_1,False,-0.0174241055598728,,,
26,26,False,-0.0165102379412938,,,
41,41,False,-0.015803919108848,,,
6,6,False,0.0155946531430392,,,
46,46,False,0.0151977505552577,,,
38,SG_5,False,0.0144180235952081,,,
20,20,False,-0.0130406238498514,,,
10,10,False,-0.0130224841035297,,,
22,22,False,0.0127868733844501,,,
17,17,False,-0.0125243740702659,,,
39,39,False,-0.0124741632535891,,,
52,52,False,0.0123065937577883,,,
36,36,False,-0.0112034268588109,,,
13,13,False,-0.010707272722301,,,
30,30,False,-0.0099676909410942,,,
5,5,False,-0.0094488346392749,,,
40,SG_6,False,-0.0089268700700262,,,
11,11,False,-0.0081762207457699,,,
28,28,False,0.007453117749461,,,
25,25,False,0.0071928586004688,,,
50,SG_9,False,-0.0067663350010867,,,
47,SG_8,False,0.0059303785916394,,,
1,1,False,0.0057388194961634,,,
0,0,False,0.0056359051312012,,,
23,23,False,-0.0055888970624,,,
35,35,False,-0.0053089599857823,,,
24,24,False,-0.0050872213412079,,,
4,4,False,0.0050712051698416,,,
43,43,False,-0.0049518462309934,,,
27,27,False,0.004787616020206,,,
16,16,False,0.0044824663076384,,,
51,51,False,-0.0044037021405823,,,
15,15,False,-0.0040676010617021,,,
18,18,False,-0.0033922954559632,,,
31,31,False,0.0026833308952882,,,
48,48,False,0.0024785874561945,,,
44,SG_7,False,-0.0022035059570259,,,
32,32,False,-0.0021855570054471,,,
49,49,False,-0.002183835849112,,,
45,45,False,0.0020563674037554,,,
7,7,False,-0.0019873591652752,,,
21,21,False,0.0019702085975775,,,
12,SG_2,False,-0.0017348676144497,,,
8,8,False,-0.0016396189401215,,,
29,29,False,0.001511821574516,,,
9,9,False,-0.0003188775363106,,,
14,14,False,-4.478069081596284e-05,,,
