locus,gene_weight,gene_name,gene_product,cog,operon,specific_gos_n,link
EQU24_RS01765,0.2111927145353474,,DUF504 domain-containing protein,RNA processing and modification,2590,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01765
EQU24_RS05320,0.2056329142472145,cobS,adenosylcobinamide-GDP ribazoletransferase,Coenzyme transport and metabolism,2166,"cobalamin biosynthetic process
cobalamin 5'-phosphate synthase activity
water-soluble vitamin biosynthetic process
cobalamin metabolic process
adenosylcobinamide-GDP ribazoletransferase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05320
EQU24_RS08455,0.2031396462020192,urtB,urea ABC transporter permease subunit UrtB,Amino acid transport and metabolism,1762,"plasma membrane
integral component of membrane
transmembrane transporter activity
transmembrane transport",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08455
EQU24_RS11970,0.1857838311407988,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",1322,"hydrolase activity, acting on ester bonds
phosphopantetheine binding
biosynthetic process",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS11970
EQU24_RS00185,0.1771155853481787,,hypothetical protein,"Replication, recombination and repair",2806,"DNA binding
transposase activity
transposition, DNA-mediated",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00185
EQU24_RS01150,0.1641473153034672,,hypothetical protein,No COG annotation,2671,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01150
EQU24_RS14755,0.1611325454280517,,hemerythrin domain-containing protein,Function unknown,966,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS14755
EQU24_RS08830,0.1113974777319983,,transposase,"Replication, recombination and repair",1713,"DNA binding
transposase activity
transposition, DNA-mediated
integral component of membrane",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08830
EQU24_RS20980,0.1044152119560844,,ISAs1 family transposase,"Replication, recombination and repair",155,"DNA binding
transposase activity
transposition, DNA-mediated",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20980
EQU24_RS06205,0.1031947016451509,,hypothetical protein,No COG annotation,2050,"phosphorelay signal transduction system
integral component of membrane
signal transduction
phosphorelay sensor kinase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06205
EQU24_RS15150,0.0927927527555549,,hypothetical protein,No COG annotation,916,integral component of membrane,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS15150
