locus,gene_weight,gene_name,gene_product,cog,operon,specific_gos_n,link
EQU24_RS20650,0.0976961913597096,,,No COG annotation,207,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20650
EQU24_RS02780,0.0955756341715928,,,No COG annotation,2450,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02780
EQU24_RS10610,0.0862911853147314,,STAS domain-containing protein,Signal transduction mechanisms,1493,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10610
EQU24_RS20610,0.0807762276999704,,ISAs1 family transposase,"Replication, recombination and repair",212,"DNA binding
transposase activity
transposition, DNA-mediated",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20610
EQU24_RS03880,0.0730944086371892,rplD,50S ribosomal protein L4,"Translation, ribosomal structure and biogenesis",2330,"negative regulation of endoribonuclease activity
negative regulation of nucleic acid-templated transcription
negative regulation of cellular macromolecule biosynthetic process
negative regulation of transcription, DNA-templated
negative regulation of ribonuclease activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS03880
EQU24_RS13015,0.0720587963895136,,hypothetical protein,No COG annotation,1201,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS13015
EQU24_RS00085,0.0713020621619352,,prolipoprotein diacylglyceryl transferase,Cell wall/membrane/envelope biogenesis,2820,"peptidyl-lysine modification
peptidyl-amino acid modification
cellular protein modification process
lipoprotein biosynthetic process
protein lipoylation",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00085
EQU24_RS07075,0.0703536007633398,,M18 family aminopeptidase,Amino acid transport and metabolism,1933,"zinc ion binding
metalloaminopeptidase activity
transition metal ion binding
aminopeptidase activity
metalloexopeptidase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07075
EQU24_RS15700,0.0664963879406299,,CBS domain-containing protein,Signal transduction mechanisms,835,"phosphorylation
kinase activity",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS15700
EQU24_RS12015,0.066065952753164,cobM,precorrin-4 C(11)-methyltransferase,Coenzyme transport and metabolism,1318,"cobalamin biosynthetic process
precorrin-4 C11-methyltransferase activity
methylation
",https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12015
EQU24_RS16560,0.0652096799655571,,IS66 family transposase,"Replication, recombination and repair",727,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16560
EQU24_RS01390,0.0615938901388404,,hypothetical protein,No COG annotation,2642,,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS01390
