k,name,in_iM,gene_weight,regulator,function,category
23,23,False,0.0230500971346363,,,
47,SG_8,False,0.0184494265714633,,,
39,39,False,-0.0154604319903421,,,
1,1,False,-0.0148317836737493,,,
50,SG_9,False,0.0145721673218893,,,
31,31,False,-0.0124878692525371,,,
15,15,False,-0.0116355627035235,,,
14,14,False,-0.0100995112531377,,,
6,6,False,0.0094520384309167,,,
17,17,False,0.009360245829323,,,
45,45,False,-0.0093544722771853,,,
33,33,False,0.0089911045473299,,,
29,29,False,-0.0085379393637256,,,
26,26,False,-0.0075681275986504,,,
46,46,False,-0.0073442764999777,,,
11,11,False,-0.0073025259340267,,,
35,35,False,-0.0064540340905519,,,
19,19,False,-0.0061700541349628,,,
18,18,False,0.0059127955657814,,,
10,10,False,0.0058240193233481,,,
38,SG_5,False,-0.0057041162118807,,,
37,SG_4,False,-0.0056479151444965,,,
5,5,False,-0.0056126023842955,,,
22,22,False,-0.0050391058543589,,,
51,51,False,0.0050276301871343,,,
40,SG_6,False,-0.0049956072093154,,,
34,SG_3,False,-0.0046367974106762,,,
27,27,False,-0.0045181159652391,,,
42,42,False,0.0044421226175863,,,
44,SG_7,False,0.0043825307019127,,,
7,7,False,-0.0040650550365204,,,
25,25,False,-0.0039982400801774,,,
30,30,False,-0.0033884396276265,,,
21,21,False,-0.0029663985014169,,,
48,48,False,-0.0028651237159679,,,
12,SG_2,False,0.0021500463115545,,,
16,16,False,-0.0020519517459035,,,
36,36,False,-0.0017069382135226,,,
24,24,False,-0.0016031201657929,,,
32,32,False,-0.0014977014343874,,,
4,4,False,0.0012088574281283,,,
52,52,False,-0.001038072653199,,,
9,9,False,0.0009691034108372,,,
41,41,False,0.0009314833864489,,,
3,SG_1,False,0.0007960719490198,,,
0,0,False,0.0007527972578148,,,
13,13,False,0.0006316482292025,,,
8,8,False,-0.0005056096767528,,,
43,43,False,-0.0004341166268413,,,
28,28,False,0.000388373773477,,,
49,49,False,0.0002724939169531,,,
2,2,False,-0.0002493279042106,,,
20,20,False,-5.024444738258296e-05,,,
