k,name,in_iM,gene_weight,regulator,function,category
21,21,True,0.2000727548340757,,,
48,48,False,-0.0251907686153706,,,
30,30,False,-0.0251898551516188,,,
29,29,False,-0.0243303769339738,,,
20,20,False,0.024090396569871,,,
12,SG_2,False,0.0205056561952219,,,
23,23,False,0.0188545901290721,,,
9,9,False,-0.0181798104202657,,,
33,33,False,0.0174769633552956,,,
15,15,False,-0.0173798573013711,,,
18,18,False,0.0170614978695308,,,
6,6,False,-0.0156749961867914,,,
42,42,False,-0.0148185826550838,,,
4,4,False,0.0140247711427443,,,
43,43,False,0.0135899085685133,,,
11,11,False,-0.0131301610169945,,,
14,14,False,-0.0131060768081021,,,
37,SG_4,False,0.0115473223925456,,,
40,SG_6,False,0.011510450191682,,,
5,5,False,0.0107764801803495,,,
52,52,False,0.0106036239093981,,,
49,49,False,-0.0103744186110743,,,
32,32,False,-0.0098626366989618,,,
26,26,False,0.0093795690992796,,,
51,51,False,0.008924221731517,,,
28,28,False,0.008910618205665,,,
44,SG_7,False,-0.0085143577439963,,,
45,45,False,0.0083484535326627,,,
41,41,False,0.008228659386045,,,
24,24,False,0.0079741358339715,,,
47,SG_8,False,-0.0077340549749961,,,
3,SG_1,False,0.0077027575849101,,,
2,2,False,0.0061866302285443,,,
38,SG_5,False,0.0060154080354741,,,
19,19,False,-0.0050711380583672,,,
16,16,False,-0.0045109609696456,,,
22,22,False,-0.0044446168383418,,,
13,13,False,0.0042652808642034,,,
1,1,False,0.0041071880967549,,,
10,10,False,-0.00392017481151,,,
39,39,False,0.0037344324051102,,,
17,17,False,-0.0032607443521831,,,
0,0,False,-0.0026724818302351,,,
50,SG_9,False,0.0019837659149832,,,
27,27,False,-0.0019798069700479,,,
34,SG_3,False,-0.0018708648837794,,,
36,36,False,0.0018415882694967,,,
7,7,False,0.0014955694648164,,,
31,31,False,0.0012405680284397,,,
8,8,False,0.0010978352450321,,,
25,25,False,-0.00090542333432,,,
35,35,False,0.0001676643041105,,,
46,46,False,0.0001059605972403,,,
