k,name,in_iM,gene_weight,regulator,function,category
0,0,False,0.0203008473916649,,,
33,33,False,-0.0183806939761842,,,
22,22,False,0.0152073891147766,,,
51,51,False,-0.0133359564405168,,,
18,18,False,-0.0127467423179077,,,
14,14,False,-0.0121543348681458,,,
36,36,False,0.010837650070887,,,
37,SG_4,False,0.0094167024200152,,,
27,27,False,-0.0091403759089396,,,
17,17,False,0.0090288358711619,,,
28,28,False,0.008999350642226,,,
41,41,False,0.0083006617670154,,,
19,19,False,0.0081488078247376,,,
23,23,False,0.0075724308671763,,,
31,31,False,-0.0075202693229775,,,
25,25,False,0.0071194971141846,,,
34,SG_3,False,-0.0064628657271079,,,
12,SG_2,False,0.0064097867295013,,,
4,4,False,0.0059715929267335,,,
13,13,False,0.0057797472267507,,,
35,35,False,-0.0051955341830961,,,
9,9,False,-0.0051218388357667,,,
3,SG_1,False,-0.0049179495460913,,,
49,49,False,0.004755014447414,,,
40,SG_6,False,-0.004733348894448,,,
21,21,False,-0.0046720631726737,,,
45,45,False,-0.0046124542764073,,,
20,20,False,0.0042729957037297,,,
6,6,False,-0.0042691890678232,,,
48,48,False,0.0039915639313925,,,
38,SG_5,False,-0.0027340426479744,,,
26,26,False,0.0024705547850115,,,
46,46,False,0.0024505996031257,,,
47,SG_8,False,0.0024341799325075,,,
50,SG_9,False,0.0022316391938149,,,
29,29,False,-0.0021815452509151,,,
7,7,False,0.0021045344120108,,,
43,43,False,0.0019117984523537,,,
1,1,False,-0.0016653495617582,,,
15,15,False,-0.0015554940761194,,,
39,39,False,-0.0014301354054674,,,
10,10,False,0.0014200854397331,,,
32,32,False,-0.0012946972992733,,,
24,24,False,-0.0012202375792637,,,
5,5,False,-0.0011328720275926,,,
52,52,False,-0.0011126966176604,,,
16,16,False,0.0010242877379278,,,
2,2,False,-0.0009488949180672,,,
30,30,False,-0.0009338058822113,,,
44,SG_7,False,0.0008286437935057,,,
11,11,False,-0.0006708476714503,,,
8,8,False,0.0004862125347006,,,
42,42,False,3.990669502076126e-05,,,
