k,name,in_iM,gene_weight,regulator,function,category
33,33,False,-0.0222864738301058,,,
49,49,False,-0.0206233678940517,,,
50,SG_9,False,-0.0203849840198152,,,
30,30,False,-0.0190153272286119,,,
23,23,False,-0.0177660960352842,,,
34,SG_3,False,0.0144218496485347,,,
18,18,False,-0.0143930806517907,,,
5,5,False,0.0128005075547976,,,
29,29,False,0.0110569457357891,,,
39,39,False,-0.0108124677167494,,,
0,0,False,-0.0107000202444447,,,
19,19,False,-0.0101399665298772,,,
51,51,False,0.0095792631439132,,,
42,42,False,-0.0087190268079048,,,
37,SG_4,False,0.0085872516551636,,,
48,48,False,0.0076964750965608,,,
15,15,False,0.0072398328690332,,,
13,13,False,-0.0062786053052488,,,
10,10,False,0.0047035373202717,,,
44,SG_7,False,0.0046700853562354,,,
52,52,False,-0.0044844532418532,,,
12,SG_2,False,-0.0044333795882784,,,
27,27,False,-0.0043492854354812,,,
45,45,False,-0.0041022116181182,,,
3,SG_1,False,0.0040872395056343,,,
21,21,False,0.0035886797534904,,,
35,35,False,-0.0034495763704168,,,
4,4,False,0.0032387620220532,,,
32,32,False,-0.0031911820194847,,,
31,31,False,-0.0031843585262871,,,
1,1,False,-0.0031292345488217,,,
26,26,False,-0.0030881721592851,,,
14,14,False,-0.0028661317117476,,,
36,36,False,-0.0028295708829728,,,
28,28,False,0.0028156883127956,,,
38,SG_5,False,0.0027738545090855,,,
46,46,False,0.0024668506341088,,,
43,43,False,-0.0024114672194822,,,
9,9,False,0.0022835527920344,,,
41,41,False,-0.002055800099265,,,
17,17,False,-0.0019037484741441,,,
11,11,False,0.0016000905092979,,,
2,2,False,-0.0015160662937589,,,
25,25,False,0.0014133606164185,,,
7,7,False,0.0013318709765678,,,
40,SG_6,False,-0.0012998583581991,,,
6,6,False,-0.0011570142039457,,,
20,20,False,-0.0006711210373799,,,
47,SG_8,False,0.0003318885624974,,,
24,24,False,-0.0002963764903844,,,
16,16,False,-0.0002517194206918,,,
22,22,False,0.0001764169426383,,,
8,8,False,3.087454374370902e-05,,,
